seller_active_quarter,year,quarter,seller_id,is_churn,n_orders,n_approved_orders,n_delivered_carrier,n_orders_late_to_carrier,n_delivered_customers,sales,n_orders_late_to_customer,median_approve_time,median_review_score,tenure_months,last_month_active_quarter,n_months_active_quarter,seller_city,seller_state
2018Q2,2018,2,seller_727,,25,24,23,0,23,404.4,1,19.8,5.0,2,3,2,sao paulo,SP
2018Q2,2018,2,seller_139,,11,11,13,0,13,703.9,1,21.283333333333335,5.0,5,3,3,arvorezinha,RS
2018Q2,2018,2,seller_2028,,9,9,9,0,9,826.82,1,952.2333333333333,5.0,3,3,3,sao paulo,SP
2018Q2,2018,2,seller_1659,,12,12,11,0,10,1120.34,0,26.4,5.0,2,3,2,divinopolis,MG
2018Q2,2018,2,seller_2996,,91,91,95,1,111,6728.92,12,24.966666666666665,5.0,14,3,3,ibitinga,SP
2018Q2,2018,2,seller_1508,,3,3,3,0,3,953.96,0,1444.9333333333334,2.5,11,2,2,belo horizonte,MG
2018Q2,2018,2,seller_2034,,11,11,10,3,13,698.6999999999999,2,947.1166666666667,5.0,12,3,3,franca,SP
2018Q2,2018,2,seller_523,,26,26,27,0,22,3169.8700000000003,2,37.15,5.0,19,3,3,monte siao,MG
2018Q2,2018,2,seller_923,,46,46,50,3,42,31857.87,1,31.366666666666667,5.0,4,3,3,diadema,SP
2018Q2,2018,2,seller_334,,17,17,16,0,14,3590.1,0,229.91666666666666,5.0,12,3,3,curitiba,PR
2018Q2,2018,2,seller_2135,,19,18,18,1,17,1600.3,2,54.825,3.0,8,3,3,ibitinga,SP
2018Q2,2018,2,seller_3029,,1,1,1,0,1,319.9,0,746.9333333333333,5.0,1,2,1,recife,PE
2018Q2,2018,2,seller_644,,18,18,17,0,11,552.1,0,21.841666666666665,4.0,1,3,1,guarulhos,SP
2018Q2,2018,2,seller_2021,,8,8,10,0,12,1542.79,2,36.06666666666667,4.0,6,2,2,sao paulo,SP
2018Q2,2018,2,seller_298,,22,22,22,2,22,606.3,0,54.71666666666667,5.0,6,3,3,sao paulo,SP
2018Q2,2018,2,seller_1631,,4,4,4,0,4,747.6,0,22.341666666666665,4.5,2,2,2,campo bom,RS
2018Q2,2018,2,seller_496,,5,5,5,0,5,630.53,0,24.7,4.0,2,3,2,anapolis,GO
2018Q2,2018,2,seller_470,,29,29,30,0,34,2241.3,1,27.4,5.0,15,3,3,poa,SP
2018Q2,2018,2,seller_1806,,24,24,25,0,30,9750.8,6,24.775,5.0,15,3,3,sao paulo,SP
2018Q2,2018,2,seller_632,,10,10,10,0,9,420.37,0,431.75,5.0,3,3,3,bento goncalves,RS
2018Q2,2018,2,seller_1975,,12,12,12,0,8,892.02,0,23.883333333333333,5.0,2,3,2,sao paulo,SP
2018Q2,2018,2,seller_885,,18,18,19,0,19,1210.3600000000001,0,24.341666666666665,4.0,8,3,3,borda da mata,MG
2018Q2,2018,2,seller_2078,,19,19,20,4,20,859.36,2,27.483333333333334,5.0,9,3,3,americana,SP
2018Q2,2018,2,seller_153,,14,14,15,0,16,2042.9,3,24.858333333333334,5.0,7,3,3,carapicuiba,SP
2018Q2,2018,2,seller_35,,20,20,21,0,23,3912.7000000000003,3,640.5583333333333,4.0,18,3,3,tupa,SP
2018Q2,2018,2,seller_2107,,24,24,23,2,28,2714.7799999999997,3,28.041666666666668,4.0,19,3,3,ibitinga,SP
2018Q2,2018,2,seller_2687,,4,4,4,0,5,989.05,0,1652.15,5.0,7,3,3,ipatinga,MG
2018Q2,2018,2,seller_1049,,1,1,0,0,0,0.0,0,6844.15,0.0,1,2,1,itajai,SC
2018Q2,2018,2,seller_2320,,54,54,56,1,58,7367.200000000001,6,278.525,5.0,9,3,3,cajamar,SP
2018Q2,2018,2,seller_1527,,37,37,36,1,33,21138.92,3,30.416666666666668,5.0,5,3,3,guarulhos,SP
2018Q2,2018,2,seller_1767,,6,6,6,0,6,263.2,0,653.1666666666666,4.0,3,3,3,sao bernardo do campo,SP
2018Q2,2018,2,seller_995,,6,6,6,0,8,744.0,4,1112.6166666666666,5.0,8,2,2,sao paulo,SP
2018Q2,2018,2,seller_365,,6,6,6,0,7,6509.6,0,282.80833333333334,5.0,4,2,2,luiz alves,SC
2018Q2,2018,2,seller_444,,12,14,18,1,23,2190.45,1,100.66666666666667,3.0,9,3,3,brusque,SC
2018Q2,2018,2,seller_2857,,5,5,5,1,8,804.3,1,24.016666666666666,5.0,7,2,2,sao paulo,SP
2018Q2,2018,2,seller_1637,,36,36,36,1,44,3007.8,7,20.05,4.0,8,3,3,atibaia,SP
2018Q2,2018,2,seller_676,,2,2,2,0,2,1073.8,0,18.75,1.0,1,3,1,sao paulo,SP
2018Q2,2018,2,seller_85,,32,32,32,0,36,10710.0,3,24.366666666666667,5.0,6,3,3,cotia,SP
2018Q2,2018,2,seller_389,,10,10,10,0,11,1433.8,1,348.46666666666664,5.0,4,3,3,sao paulo,SP
2018Q2,2018,2,seller_790,,7,7,7,0,5,839.95,0,30.116666666666667,5.0,10,3,3,sao paulo,SP
2018Q2,2018,2,seller_2111,,27,27,27,0,27,1417.73,1,89.21666666666667,5.0,3,3,3,mogi mirim,SP
2018Q2,2018,2,seller_1786,,1,1,1,0,1,82.99,0,23.766666666666666,5.0,1,3,1,carapicuiba,SP
2018Q2,2018,2,seller_3026,,16,16,16,3,27,11790.95,8,21.108333333333334,3.5,17,3,3,riberao preto,SP
2018Q2,2018,2,seller_2905,,6,6,6,0,6,626.9,0,19.158333333333335,5.0,2,2,2,sao paulo,SP
2018Q2,2018,2,seller_737,,39,39,39,0,34,2070.8,1,28.366666666666667,5.0,2,3,2,florianopolis,SC
2018Q2,2018,2,seller_2089,,5,5,5,0,5,509.97,0,22.383333333333333,1.0,2,2,2,sao carlos,SP
2018Q2,2018,2,seller_585,,7,7,6,1,5,152.9,0,21.133333333333333,4.0,3,3,2,sao paulo,SP
2018Q2,2018,2,seller_328,,12,12,12,0,18,2614.4,2,22.141666666666666,5.0,12,3,3,sao joaquim da barra,SP
2018Q2,2018,2,seller_2614,,2,2,2,0,2,2526.4300000000003,0,727.5083333333333,2.0,2,3,2,barueri,SP
2018Q2,2018,2,seller_2274,,10,10,10,0,10,778.28,1,19.15,5.0,5,3,3,socorro,SP
2018Q2,2018,2,seller_2151,,3,2,1,0,1,29.45,0,18.75,3.0,1,3,1,itapevi,SP
2018Q2,2018,2,seller_603,,10,11,11,0,13,876.0,3,23.133333333333333,4.0,11,3,3,jaguaruna,SC
2018Q2,2018,2,seller_1555,,18,18,16,0,23,1192.7,5,183.3,4.0,12,3,3,bebedouro,SP
2018Q2,2018,2,seller_1323,,8,8,8,0,8,2281.31,2,20.191666666666666,4.5,12,3,3,sao jose dos campos,SP
