seller_active_quarter,year,quarter,seller_id,is_churn,n_orders,n_approved_orders,n_delivered_carrier,n_orders_late_to_carrier,n_delivered_customers,sales,n_orders_late_to_customer,median_approve_time,median_review_score,tenure_months,last_month_active_quarter,n_months_active_quarter,seller_city,seller_state
2018Q1,2018,1,seller_1636,True,1,1,1,0,1,109.9,0,12.966666666666667,3.0,7,3,1,cerqueira cesar,SP
2017Q4,2017,4,seller_781,False,1,1,1,0,1,59.9,0,15.666666666666666,5.0,2,1,1,ampere,PR
2017Q4,2017,4,seller_3019,False,2,2,2,0,2,1020.0,0,933.275,4.5,5,2,2,sao paulo,SP
2017Q1,2017,1,seller_2779,True,1,1,1,1,1,87.9,0,102.43333333333334,5.0,1,1,1,cascavel,PR
2017Q4,2017,4,seller_1459,False,2,2,3,0,2,174.8,0,414.4166666666667,5.0,6,3,1,parnamirim,RN
2017Q4,2017,4,seller_2552,True,1,1,1,0,1,19.6,0,164.8,5.0,5,3,1,capivari,SP
2018Q1,2018,1,seller_759,True,1,1,1,0,1,108.5,0,19.283333333333335,3.0,1,1,1,ribeirao preto,SP
2017Q2,2017,2,seller_2504,True,1,1,1,0,1,24.49,0,1051.1666666666667,5.0,3,2,1,ribeirao preto,SP
2017Q3,2017,3,seller_1948,False,1,1,1,0,0,0.0,0,14.383333333333333,0.0,4,3,1,itaipulandia,PR
2017Q3,2017,3,seller_2812,True,1,1,1,0,1,149.0,0,900.1666666666666,4.0,1,1,1,osasco,SP
2018Q1,2018,1,seller_1988,True,1,1,1,0,0,0.0,0,21.166666666666668,0.0,1,3,1,sao paulo,SP
2017Q2,2017,2,seller_2930,False,2,2,2,0,2,110.0,0,1175.6916666666666,5.0,1,3,1,cotia,SP
2017Q3,2017,3,seller_2526,False,1,1,1,0,0,0.0,0,12.616666666666667,0.0,1,3,1,pocos de caldas,MG
2017Q2,2017,2,seller_151,True,1,1,1,0,1,89.9,0,1505.85,4.0,1,3,1,lencois paulista,SP
2017Q4,2017,4,seller_263,False,1,1,1,0,2,159.86,1,9.033333333333333,1.0,3,3,1,santos,SP
2017Q2,2017,2,seller_456,False,1,1,1,1,1,798.0,0,33.766666666666666,5.0,2,2,1,sao paulo,SP
2018Q1,2018,1,seller_2095,False,2,2,2,0,1,89.17,0,14.391666666666667,5.0,2,3,1,canoas,RS
2018Q1,2018,1,seller_1458,True,1,1,1,0,1,64.99,0,55.3,5.0,1,2,1,carazinho,RS
2017Q4,2017,4,seller_1387,True,1,1,1,0,0,0.0,0,12.916666666666666,0.0,1,3,1,janauba,MG
2017Q3,2017,3,seller_2527,True,1,1,2,0,3,151.79,0,11.65,5.0,2,1,1,sorocaba,SP
2018Q1,2018,1,seller_787,False,1,1,1,0,0,0.0,0,13.933333333333334,0.0,1,3,1,guaruja,SP
2017Q1,2017,1,seller_2337,False,1,1,1,0,1,116.0,0,9.1,5.0,1,2,1,sao paulo,SP
2017Q4,2017,4,seller_2679,True,1,1,1,0,1,499.0,1,14.816666666666666,5.0,1,2,1,curitiba,PR
2017Q2,2017,2,seller_1805,True,1,1,1,0,1,38.9,0,900.7666666666667,5.0,1,1,1,sao paulo,SP
2017Q2,2017,2,seller_2942,False,1,1,1,0,1,129.0,0,99.43333333333334,5.0,1,2,1,arapongas,PR
2017Q3,2017,3,seller_1107,False,1,1,1,0,1,109.9,0,124.46666666666667,5.0,1,2,1,sao paulo,SP
2017Q2,2017,2,seller_543,True,2,2,3,0,5,549.6,0,1517.6083333333333,5.0,2,2,1,joao pessoa,PB
2017Q3,2017,3,seller_2475,True,1,1,1,0,1,119.99,0,13.366666666666667,1.0,3,1,1,sao paulo,SP
2017Q2,2017,2,seller_2085,True,1,1,1,0,1,88.0,0,12.716666666666667,4.0,2,1,1,barueri,SP
2017Q1,2017,1,seller_2317,False,1,1,1,1,1,48.9,0,12.35,4.0,2,2,1,caxias do sul,RS
2017Q2,2017,2,seller_1141,False,1,1,1,0,1,15.0,0,2305.483333333333,4.0,1,2,1,curitiba,PR
2017Q4,2017,4,seller_1231,True,1,1,1,0,1,189.75,1,14.4,1.0,2,2,1,taboao da serra,SP
2017Q4,2017,4,seller_1630,False,1,1,1,0,0,0.0,0,10.466666666666667,0.0,4,3,1,formiga,MG
2017Q1,2017,1,seller_2424,False,1,1,1,0,1,124.9,0,0.0,5.0,1,3,1,birigui,SP
2017Q1,2017,1,seller_156,True,1,1,1,0,1,239.0,0,16.516666666666666,4.0,2,2,1,sao paulo,SP
2018Q1,2018,1,seller_2138,False,1,1,1,0,1,1288.72,0,16.8,4.0,11,3,1,braganca paulista,SP
2017Q1,2017,1,seller_1971,False,1,1,1,0,0,0.0,0,27.05,0.0,1,3,1,sao paulo,SP
2017Q1,2017,1,seller_1948,False,1,1,1,0,1,189.0,0,0.0,5.0,1,3,1,itaipulandia,PR
2017Q4,2017,4,seller_2571,True,1,1,1,0,1,35.0,0,10.7,5.0,7,2,1,sao paulo,SP
2017Q1,2017,1,seller_1982,True,1,1,1,1,1,14.9,1,8.166666666666666,0.0,1,2,1,santa barbara d'oeste,SP
2017Q4,2017,4,seller_284,True,1,1,1,0,1,39.9,0,11.95,5.0,3,2,1,niteroi,RJ
2018Q1,2018,1,seller_596,True,1,1,1,0,1,63.96,0,7.383333333333334,5.0,9,1,1,pocos de caldas,MG
2017Q1,2017,1,seller_3017,False,1,1,1,0,1,1299.99,0,11.5,5.0,2,2,1,suzano,SP
2018Q1,2018,1,seller_2266,False,1,1,1,0,2,474.0,0,16.05,4.5,5,2,1,taboao da serra,SP
2017Q3,2017,3,seller_91,True,1,1,1,0,1,99.9,0,8.166666666666666,5.0,1,1,1,rio de janeiro,RJ
2017Q4,2017,4,seller_1885,False,1,1,1,0,1,109.99,0,1434.0833333333333,5.0,1,3,1,sorocaba,SP
